Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
8NU/Re $VAD $KPA (#J207),8NU/Ar $JBR $VRE (#T213),8NU/Sc ($JTH) $SC1 (#F111),,8NU/En $KHA $KPA (#J106),8NU/Sp $SDY $KPA (#F206),,8NU/Hi $MMO $KPA (#T028),8NU/Sp $SDY (#F206),8NU/Ma $JOK $KPA (#F206),8NU/Re $JUP (#F206),,8NU/Mu $CMA (#T120),8NU/Sc ($JTH) $SC1 (#F111),8NU/Ma $SGR $JOK (#F206),8NU/En $KHA (#J106),8du/Pe4 $SRE (#T008),8du/Pe4 $SRE (#T008),,8NU/Sc $DSU ($JTH) $SC1 (#F111),8NU/Ge $SCL $KPA (#T031),8NU/Ac $AHR $KPA (#F206),8NU/Ge $SCL $KPA (#T031),8NU/Cp $GBR $SGR (#F019),8NU/Dr $COS (#J005),,8NU/En $KHA $KPA (#J106),8NU/Ma $JOK (#F206),8NU/Ma $JOK $KPA (#F206),8NU/Hi $MMO $KPA (#T028),8NU/En $KHA $KPA (#N101),8NU/Re $KPA $JUP (#J217),,8NU/Te $JBR $KPA (#T027),8NU/Sc $KPA ($JTH) $SC1 (#F111)
9A/Bs1 $TOG (#F103),9B/Ar1 $KPL (#T214),9C/Bs1 $NAS (#J215),9pq/Ma1 $MYO (#J211),9pgBLANK,9p/En1 $KHA $SHU (#J106),9pgBLANK,9p/En1 $KHA $SHU (#J106),9C/Bs1 $NAS (#F102),9p/Pe1 $DHA (#T010),9pq/Sc1 $OTH (#F013),9A/Bs1 $SHU $TOG (#F103),9pgBLANK,9pq/Ma1 $MYO (#J211),9pq/Sc1 $OTH (#F217),9A/Bs1 $TOG (#J220),9p/Re1 $CBE (#T126),9pq/Ma1 $MYO (#J211),9B/Ar1 $KPL (#T214),9pgBLANK,9p/En1 $KHA $SHU (#J106),9pq/Sc1 $OTH (#F217),9B/Ar1 $KPL (#T214),9p/En1 $KHA (#J106),9pq/Ma1 $MYO (#J211),9p/Re1 $CBE (#T126),9pgBLANK,9C/Bs1 $NAS (#T126),9pq/Ma1 $MYO (#J211),9p/Re1 $CBE (#T126),9p/Pe1 $DHA (#T010),9pq/Sc1 $OTH (#F217),9pq/Sc1 $OTH (#F217),9pgBLANK,9p/En1 $KHA (#J106)
9A/Dr1 $COS (#T115),9B/Ft1 $BST (#T005),9C/Cp1 $SGR $DSK (#F101),9pq/Ma2 $SHU $MMA (#J213),,9p/En2 $JWA (#J107),,9p/En2 $JWA (#J107),9C/Cp1 $SGR $DSK (#F101),9p/Pe2 $NMC (#T010),9pq/Sc2 $OST (#F218),9A/Dr1 $COS (#T115),,9pq/Ma2 $MMA (#J213),9pq/Sc2 $OST (#F218),9A/Dr1 $COS (#T115),9p/Re2 $JTA (#J202),9pq/Ma2 $MMA (#J213),9B/Ft1 $BST (#T005),,9p/En2 $JWA (#J107),9pq/Sc2 $OST (#F218),9B/Ft1 $BST (#T005),9p/En2 $JWA (#J107),9pq/Ma2 $MMA (#J213),9p/Re2 $JTA (#J202),,9C/Cp1 $SGR $DSK (#F101),9pq/Ma2 $MMA (#J213),9p/Re2 $JTA (#J202),9p/Pe2 $NMC (#T010),9pq/Sc2 $OST (#F218),9pq/Sc2 $OST (#F218),,9p/En2 $JWA (#J107)
9A/Fr1 $JLU (#T114),9B/Ge1 $MMO (#T028),9C/Dr1 $GGR (#J005),9pq/Ma3 $SBE (#J220),,9p/En3 $NLA (#T028),,9p/En3 $NLA (#J201),9C/Dr1 $GGR (#J005),9p/Pe3 $SRE (#T008),9pq/Sc3 $LTE (#F221),9A/Fr1 $JLU (#T114),,9pq/Ma3 $SBE (#J220),9pq/Sc3 $SHU $LTE (#J215),9A/Fr1 $JLU (#T114),9p/Re3 $JUP (#J217),9pq/Ma3 $SBE (#J220),9B/Ge1 $MMO (#T028),,9p/En3 $NLA (#J201),9pq/Sc3 $LTE (#F221),9B/Ge1 $MMO (#T028),9p/En3 $NLA (#J201),9pq/Ma3 $SBE (#J220),9p/Re3 $JUP (#J217),,9C/Dr1 $GGR (#J005),9pq/Ma3 $SBE (#J220),9p/Re3 $JUP (#J217),9p/Pe3 $DGR (#T010),9pq/Sc3 $LTE (#F221),9pq/Sc3 $LTE (#F221),,9p/En3 $NLA (#T029)
9A/Fr2 $SDY $GMC (#F017),9B/Ge2 $MFI (#T029),9C/Fr1 $JLU (#T114),9pq/Ma4 $LBU (#J214),,9p/En4 $JNI (#J104),,9p/En4 $JNI (#J104),9C/Fr1 $JLU (#T114),9p/Pe4 $AAK (#T008),9pq/Sc4 ($JTH) $SC1 (#F111),9A/Fr2 $SDY $GMC (#T028),,9pq/Ma4 $LBU (#J214),9pq/Sc4 ($JTH) $SC1 (#F111),9A/Fr2 $SDY $GMC (#F017),9p/Re4 $VAD (#J207),9pq/Ma4 $LBU (#J214),9B/Ge2 $MFI (#T029),,9p/En4 $JNI (#J104),9pq/Sc4 ($JTH) $SC1 (#F111),9B/Ge2 $MFI (#T029),9p/En4 $JNI (#J104),9pq/Ma4 $LBU (#J214),9p/Re4 $VAD (#J207),,9C/Fr1 $JLU (#T114),9pq/Ma4 $LBU (#J214),9p/Re4 $VAD (#J207),9p/Pe4 $AAK (#T008),9pq/Sc4 ($JTH) $SC1 (#F111),9pq/Sc4 ($JTH) $SC1 (#F111),,9p/En4 $JNI (#J104)
9A/Ge1 $SCL (#T031),9B/Hi1 $AHO (#F015),9C/Hi1 $KBR (#F014),9pq/Ma5 $GDI (#J215),,,,,9C/Hi1 $KBR (#F014),,9pq/Sc5 $SBA (#F216),9A/Ge1 $SCL (#T031),,9pq/Ma5 $GDI (#J215),9pq/Sc5 $SBA (#F216),9A/Ge1 $SCL (#T031),,9pq/Ma5 $GDI (#J215),9B/Hi1 $AHO (#F015),,,9pq/Sc5 $SBA (#F216),9B/Hi1 $AHO (#F015),,9pq/Ma5 $GDI (#J215),,,9C/Hi1 $KBR (#F014),9pq/Ma5 $GDI (#J215),,,9pq/Sc5 $SBA (#F216),9pq/Sc5 $SBA (#F216),,
9A/Pd1 $JBR $SGR (#T027),9B/Hi2 $APA (#F013),9C/Pe1 $DHA (#J224),9pq/Ma6 $EFR (#J224),,9q/En1 $LTA (#F104),,9qg/Pe1 $DHA (#T008),9C/Pe1 $DHA (#J224),9q/En1 $LTA (#F104),9pq/Sc6 $MHO (#F217),9A/Pd1 $RBI $JBR (#T027),,9pq/Ma6 $EFR (#J224),9pq/Sc6 $MHO (#F109),9A/Pd1 $JBR $SGR (#T027),9q/En1 $KPA $LTA (#F104),9pq/Ma6 $EFR (#J224),9B/Hi2 $APA (#F013),,9qg/Re1 $JTA (#J202),9pq/Sc6 $MHO (#F109),9B/Hi2 $APA (#F013),9qg/Re1 $JTA (#J202),9pq/Ma6 $EFR (#J224),9q/En1 $LTA (#F104),,9C/Pe1 $DHA (#T010),9pq/Ma6 $EFR (#J224),9qg/Pe1 $DHA (#T008),9qg/Re1 $JTA (#J202),9pq/Sc6 $MHO (#F109),9pq/Sc6 $MHO (#F109),,9q/En1 $LTA (#F104)
9A/Sp1 $PLA (#F016),9B/Hi3 $KBR (#F014),9C/Sp1 $PLA (#F016),9pq/Ma7 $JAD (#J212),,9q/En2 $CFO (#F102),,9qg/Pe2 $SRE (#T008),9C/Sp1 $PLA (#F016),9q/En2 $CFO (#F102),9pq/Sc7 $EAG (#F110),9A/Sp1 $PLA (#F016),,9pq/Ma7 $JAD (#J212),9pq/Sc7 $EAG (#J224),9A/Sp1 $PLA (#F016),9q/En2 $CFO (#F102),9pq/Ma7 $JAD (#J212),9B/Hi3 $KBR (#F014),,9qg/Re2 $TED (#J217),9pq/Sc7 $EAG (#F110),9B/Hi3 $KBR (#F014),9qg/Re2 $TED (#J217),9pq/Ma7 $JAD (#J212),9q/En2 $CFO (#F102),,9C/Sp1 $PLA (#F016),9pq/Ma7 $JAD (#J212),9qg/Pe2 $SRE (#T010),9qg/Re2 $TED (#J217),9pq/Sc7 $EAG (#F110),9pq/Sc7 $EAG (#F110),,9q/En2 $CFO (#F102)
9A/Im1 $GBR (#F019),,9C/Sp2 $SBO (#F017),,,9q/En3 $ADI (#J105),,9qg/Pe3 $DGR (#T010),9C/Sp2 $SBO (#F017),9q/En3 $ADI (#J105),,9A/Im1 $GBR $SGR (#F019),,,,9A/Im1 $GBR $SHU (#F019),9q/En3 $ADI (#J105),,,,9qg/Re3 $VAD (#J207),,,9qg/Re3 $VAD $SHU (#J207),,9q/En3 $ADI $SHU (#J105),,9C/Sp2 $SBO (#F017),,9qg/Pe3 $DGR (#T010),9qg/Re3 $VAD $SHU (#J207),,,,9q/En3 $ADI $SHU (#J105)
,9EG/Sc $SHU $EPA (#F110),9EG/Ma $MBH $SHU (#F207),9EG/Ft $SGR $BST (#T005),,9EG/Ft $BST (#T005),,,9EG/En $SHU $JNI (#J104),9EG/Sc $SGR ($JTH) $SC1 (#F111),9EG/Hs $SHU $GTO (#T117),,,9EG/Ma $SHU $JMA (#F206),9EG/Ma $MBH (#F207),,9EG/Hs $SHU $GTO (#T117),9EG/Ma $MBH $SHU (#F207),9EG/En $SHU $JNI (#J104),,,9EG/En $SHU $JNI (#J104),9EG/Hs $SHU $GTO (#T117),,9EG/Sc ($JTH) $SC1 (#F111),9EG/Sc ($JTH) $SC1 (#F111),,9EG/Ft $JBR $SHU (#T005),9EG/En $SHU $JNI (#J104),,,9EG/Sc $SGR $EPA (#J201),9EG/En $RBI $SHU $JNI (#J104),,9EG/Ma $SGR $JMA (#F206)
